dataset,target_size,algorithm,r2,rmse,rpd,fold
lucas_min,8,spa2,0.88,0.02,2.88,0
lucas_min,8,spa2,0.88,0.02,2.88,1
lucas_min,8,spa2,0.88,0.02,2.88,2
lucas_min,8,spa2,0.88,0.02,2.88,3
lucas_min,8,spa2,0.88,0.02,2.88,4
lucas_min,8,spa2,0.88,0.02,2.88,5
lucas_min,8,spa2,0.88,0.02,2.88,6
lucas_min,8,spa2,0.88,0.02,2.88,7
lucas_min,8,spa2,0.88,0.02,2.88,8
lucas_min,8,spa2,0.88,0.02,2.88,9
lucas_min,8,spa2,0.88,0.02,2.88,10
lucas_min,8,spa2,0.88,0.02,2.88,11
lucas_min,8,spa2,0.88,0.02,2.88,12
lucas_min,8,spa2,0.88,0.02,2.88,13
lucas_min,8,spa2,0.88,0.02,2.88,14
lucas_min,8,spa2,0.88,0.02,2.88,15
lucas_min,8,spa2,0.88,0.02,2.88,16
lucas_min,8,spa2,0.88,0.02,2.88,17
lucas_min,8,spa2,0.88,0.02,2.88,18
lucas_min,8,spa2,0.88,0.02,2.88,19
lucas_min,16,spa2,0.89,0.02,3.01,0
lucas_min,16,spa2,0.89,0.02,3.01,1
lucas_min,16,spa2,0.89,0.02,3.01,2
lucas_min,16,spa2,0.89,0.02,3.01,3
lucas_min,16,spa2,0.89,0.02,3.01,4
lucas_min,16,spa2,0.89,0.02,3.01,5
lucas_min,16,spa2,0.89,0.02,3.01,6
lucas_min,16,spa2,0.89,0.02,3.01,7
lucas_min,16,spa2,0.89,0.02,3.01,8
lucas_min,16,spa2,0.89,0.02,3.01,9
lucas_min,16,spa2,0.89,0.02,3.01,10
lucas_min,16,spa2,0.89,0.02,3.01,11
lucas_min,16,spa2,0.89,0.02,3.01,12
lucas_min,16,spa2,0.89,0.02,3.01,13
lucas_min,16,spa2,0.89,0.02,3.01,14
lucas_min,16,spa2,0.89,0.02,3.01,15
lucas_min,16,spa2,0.89,0.02,3.01,16
lucas_min,16,spa2,0.89,0.02,3.01,17
lucas_min,16,spa2,0.89,0.02,3.01,18
lucas_min,16,spa2,0.89,0.02,3.01,19
lucas_min,32,spa2,0.91,0.02,3.32,0
lucas_min,32,spa2,0.91,0.02,3.32,1
lucas_min,32,spa2,0.91,0.02,3.32,2
lucas_min,32,spa2,0.91,0.02,3.32,3
lucas_min,32,spa2,0.91,0.02,3.32,4
lucas_min,32,spa2,0.91,0.02,3.32,5
lucas_min,32,spa2,0.91,0.02,3.32,6
lucas_min,32,spa2,0.91,0.02,3.32,7
lucas_min,32,spa2,0.91,0.02,3.32,8
lucas_min,32,spa2,0.91,0.02,3.32,9
lucas_min,32,spa2,0.91,0.02,3.32,10
lucas_min,32,spa2,0.91,0.02,3.32,11
lucas_min,32,spa2,0.91,0.02,3.32,12
lucas_min,32,spa2,0.91,0.02,3.32,13
lucas_min,32,spa2,0.91,0.02,3.32,14
lucas_min,32,spa2,0.91,0.02,3.32,15
lucas_min,32,spa2,0.91,0.02,3.32,16
lucas_min,32,spa2,0.91,0.02,3.32,17
lucas_min,32,spa2,0.91,0.02,3.32,18
lucas_min,32,spa2,0.91,0.02,3.32,19
lucas_min,64,spa2,0.92,0.02,3.63,0
lucas_min,64,spa2,0.92,0.02,3.63,1
lucas_min,64,spa2,0.92,0.02,3.63,2
lucas_min,64,spa2,0.92,0.02,3.63,3
lucas_min,64,spa2,0.92,0.02,3.63,4
lucas_min,64,spa2,0.92,0.02,3.63,5
lucas_min,64,spa2,0.92,0.02,3.63,6
lucas_min,64,spa2,0.92,0.02,3.63,7
lucas_min,64,spa2,0.92,0.02,3.63,8
lucas_min,64,spa2,0.92,0.02,3.63,9
lucas_min,64,spa2,0.92,0.02,3.63,10
lucas_min,64,spa2,0.92,0.02,3.63,11
lucas_min,64,spa2,0.92,0.02,3.63,12
lucas_min,64,spa2,0.92,0.02,3.63,13
lucas_min,64,spa2,0.92,0.02,3.63,14
lucas_min,64,spa2,0.92,0.02,3.63,15
lucas_min,64,spa2,0.92,0.02,3.63,16
lucas_min,64,spa2,0.92,0.02,3.63,17
lucas_min,64,spa2,0.92,0.02,3.63,18
lucas_min,64,spa2,0.92,0.02,3.63,19
lucas_min,128,spa2,0.92,0.02,3.45,0
lucas_min,128,spa2,0.92,0.02,3.45,1
lucas_min,128,spa2,0.92,0.02,3.45,2
lucas_min,128,spa2,0.92,0.02,3.45,3
lucas_min,128,spa2,0.92,0.02,3.45,4
lucas_min,128,spa2,0.92,0.02,3.45,5
lucas_min,128,spa2,0.92,0.02,3.45,6
lucas_min,128,spa2,0.92,0.02,3.45,7
lucas_min,128,spa2,0.92,0.02,3.45,8
lucas_min,128,spa2,0.92,0.02,3.45,9
lucas_min,128,spa2,0.92,0.02,3.45,10
lucas_min,128,spa2,0.92,0.02,3.45,11
lucas_min,128,spa2,0.92,0.02,3.45,12
lucas_min,128,spa2,0.92,0.02,3.45,13
lucas_min,128,spa2,0.92,0.02,3.45,14
lucas_min,128,spa2,0.92,0.02,3.45,15
lucas_min,128,spa2,0.92,0.02,3.45,16
lucas_min,128,spa2,0.92,0.02,3.45,17
lucas_min,128,spa2,0.92,0.02,3.45,18
lucas_min,128,spa2,0.92,0.02,3.45,19
lucas_min,256,spa2,0.94,0.02,4.17,0
lucas_min,256,spa2,0.94,0.02,4.17,1
lucas_min,256,spa2,0.94,0.02,4.17,2
lucas_min,256,spa2,0.94,0.02,4.17,3
lucas_min,256,spa2,0.94,0.02,4.17,4
lucas_min,256,spa2,0.94,0.02,4.17,5
lucas_min,256,spa2,0.94,0.02,4.17,6
lucas_min,256,spa2,0.94,0.02,4.17,7
lucas_min,256,spa2,0.94,0.02,4.17,8
lucas_min,256,spa2,0.94,0.02,4.17,9
lucas_min,256,spa2,0.94,0.02,4.17,10
lucas_min,256,spa2,0.94,0.02,4.17,11
lucas_min,256,spa2,0.94,0.02,4.17,12
lucas_min,256,spa2,0.94,0.02,4.17,13
lucas_min,256,spa2,0.94,0.02,4.17,14
lucas_min,256,spa2,0.94,0.02,4.17,15
lucas_min,256,spa2,0.94,0.02,4.17,16
lucas_min,256,spa2,0.94,0.02,4.17,17
lucas_min,256,spa2,0.94,0.02,4.17,18
lucas_min,256,spa2,0.94,0.02,4.17,19
lucas_min,512,spa2,0.94,0.02,4.11,0
lucas_min,512,spa2,0.94,0.02,4.11,1
lucas_min,512,spa2,0.94,0.02,4.11,2
lucas_min,512,spa2,0.94,0.02,4.11,3
lucas_min,512,spa2,0.94,0.02,4.11,4
lucas_min,512,spa2,0.94,0.02,4.11,5
lucas_min,512,spa2,0.94,0.02,4.11,6
lucas_min,512,spa2,0.94,0.02,4.11,7
lucas_min,512,spa2,0.94,0.02,4.11,8
lucas_min,512,spa2,0.94,0.02,4.11,9
lucas_min,512,spa2,0.94,0.02,4.11,10
lucas_min,512,spa2,0.94,0.02,4.11,11
lucas_min,512,spa2,0.94,0.02,4.11,12
lucas_min,512,spa2,0.94,0.02,4.11,13
lucas_min,512,spa2,0.94,0.02,4.11,14
lucas_min,512,spa2,0.94,0.02,4.11,15
lucas_min,512,spa2,0.94,0.02,4.11,16
lucas_min,512,spa2,0.94,0.02,4.11,17
